"age.min";"age.max";"code_dep";"year";"all";"male";"female"
0;4;"01";2012;39950;20347;19603
0;4;"91";2012;87099;44569;42530
0;4;"85";2012;39607;20231;19376
0;4;"79";2012;21683;11221;10462
0;4;"73";2012;24773;12599;12174
0;4;"14";2012;40881;20954;19927
0;4;"67";2012;64164;32949;31215
0;4;"61";2012;16382;8486;7896
0;4;"55";2012;11174;5679;5495
0;4;"86";2012;24815;12656;12159
0;4;"49";2012;52048;26529;25519
0;4;"43";2012;12784;6482;6302
0;4;"37";2012;33378;17399;15979
0;4;"68";2012;45051;23115;21936
0;4;"31";2012;73503;37720;35783
0;4;"25";2012;34131;17443;16688
0;4;"2A";2012;6803;3511;3292
0;4;"50";2012;27429;13825;13604
0;4;"44";2012;82709;42385;40324
0;4;"08";2012;17689;9281;8408
0;4;"02";2012;34844;17970;16874
0;4;"92";2012;114523;58633;55890
0;4;"26";2012;29920;15235;14685
0;4;"80";2012;34641;17751;16890
0;4;"74";2012;47106;24083;23023
0;4;"15";2012;6952;3392;3560
0;4;"09";2012;7854;4060;3794
0;4;"62";2012;97418;49678;47740
0;4;"56";2012;41621;21417;20204
0;4;"87";2012;19668;9914;9754
0;4;"81";2012;20146;10472;9674
0;4;"75";2012;121837;61157;60680
0;4;"38";2012;79522;41071;38451
0;4;"69";2012;115756;59177;56579
0;4;"32";2012;9102;4680;4422
0;4;"57";2012;60291;30881;29410
0;4;"2B";2012;8207;4238;3969
0;4;"51";2012;34048;17557;16491
0;4;"45";2012;42873;21926;20947
0;4;"39";2012;15253;8005;7248
0;4;"03";2012;16844;8486;8358
0;4;"93";2012;127655;65349;62306
0;4;"27";2012;39415;19832;19583
0;4;"21";2012;29350;14860;14490
0;4;"52";2012;10022;5201;4821
0;4;"16";2012;18262;9505;8757
0;4;"10";2012;18798;9639;9159
0;4;"63";2012;33625;17037;16588
0;4;"94";2012;94554;47446;47108
0;4;"88";2012;21525;10990;10535
0;4;"82";2012;15090;7664;7426
0;4;"76";2012;77389;40003;37386
0;4;"17";2012;31588;16291;15297
0;4;"70";2012;14901;7799;7102
0;4;"33";2012;82952;42493;40459
0;4;"58";2012;10496;5328;5168
0;4;"89";2012;20030;10140;9890
0;4;"83";2012;52879;27217;25662
0;4;"46";2012;8140;4148;3992
0;4;"40";2012;20230;10369;9861
0;4;"04";2012;8284;4288;3996
0;4;"34";2012;59166;30063;29103
0;4;"28";2012;28477;14589;13888
0;4;"22";2012;34019;17510;16509
0;4;"53";2012;20285;10240;10045
0;4;"47";2012;17174;8772;8402
0;4;"11";2012;19190;9830;9360
0;4;"64";2012;33639;17099;16540
0;4;"95";2012;87616;44867;42749
0;4;"29";2012;50939;26152;24787
0;4;"23";2012;5458;2729;2729
0;4;"77";2012;95841;48541;47300
0;4;"18";2012;16318;8263;8055
0;4;"71";2012;29760;15271;14489
0;4;"65";2012;11095;5706;5389
0;4;"59";2012;175986;90731;85255
0;4;"90";2012;8987;4565;4422
0;4;"84";2012;32909;16954;15955
0;4;"78";2012;98521;49948;48573
0;4;"41";2012;19242;9778;9464
0;4;"05";2012;7241;3674;3567
0;4;"35";2012;64788;32764;32024
0;4;"60";2012;54873;28030;26843
0;4;"974";2012;68137;35044;33093
0;4;"54";2012;41739;21219;20520
0;4;"48";2012;4054;2028;2026
0;4;"12";2012;14296;7275;7021
0;4;"06";2012;57314;29094;28220
0;4;"971";2012;26805;13809;12996
0;4;"30";2012;41256;21380;19876
0;4;"24";2012;19507;10051;9456
0;4;"972";2012;23686;12113;11573
0;4;"19";2012;11677;5982;5695
0;4;"72";2012;35515;18146;17369
0;4;"66";2012;24313;12441;11872
0;4;"42";2012;45462;23307;22155
0;4;"36";2012;11494;5844;5650
0;4;"973";2012;28440;14591;13849
0;4;"07";2012;17444;8815;8629
0;4;"13";2012;117121;59445;57676
5;9;"73";2012;25972;13467;12505
5;9;"55";2012;12175;6348;5827
5;9;"75";2012;105214;53846;51368
5;9;"37";2012;35263;18070;17193
5;9;"76";2012;78481;39789;38692
5;9;"39";2012;16566;8507;8059
5;9;"38";2012;79490;40849;38641
5;9;"74";2012;47847;24504;23343
5;9;"2A";2012;7216;3584;3632
5;9;"21";2012;30136;15540;14596
5;9;"23";2012;5835;3037;2798
5;9;"77";2012;96091;49268;46823
5;9;"40";2012;22607;11440;11167
5;9;"42";2012;45817;23453;22364
5;9;"57";2012;60691;31091;29600
5;9;"2B";2012;8334;4368;3966
5;9;"22";2012;36147;18629;17518
5;9;"24";2012;21464;10774;10690
5;9;"78";2012;97993;50422;47571
5;9;"41";2012;19834;10221;9613
5;9;"56";2012;44668;23019;21649
5;9;"58";2012;11549;5788;5761
5;9;"60";2012;55899;28219;27680
5;9;"91";2012;84454;43180;41274
5;9;"85";2012;40283;20793;19490
5;9;"79";2012;22740;11582;11158
5;9;"50";2012;29785;15451;14334
5;9;"14";2012;42560;21804;20756
5;9;"59";2012;173867;89444;84423
5;9;"61";2012;17764;9038;8726
5;9;"92";2012;101142;51132;50010
5;9;"86";2012;25042;12824;12218
5;9;"49";2012;52910;27308;25602
5;9;"43";2012;13987;7171;6816
5;9;"15";2012;7611;3844;3767
5;9;"01";2012;41347;21063;20284
5;9;"31";2012;71831;37085;34746
5;9;"25";2012;32495;16929;15566
5;9;"87";2012;19777;10087;9690
5;9;"81";2012;21696;10904;10792
5;9;"44";2012;84182;43108;41074
5;9;"67";2012;64731;33071;31660
5;9;"02";2012;35924;18308;17616
5;9;"32";2012;10197;5228;4969
5;9;"26";2012;31328;16293;15035
5;9;"80";2012;35988;18285;17703
5;9;"51";2012;34184;17512;16672
5;9;"45";2012;42473;21575;20898
5;9;"68";2012;46618;23705;22913
5;9;"62";2012;99687;51139;48548
5;9;"93";2012;113394;57677;55717
5;9;"27";2012;40893;21024;19869
5;9;"89";2012;21067;10823;10244
5;9;"52";2012;10758;5431;5327
5;9;"16";2012;19153;9790;9363
5;9;"69";2012;106288;53698;52590
5;9;"63";2012;34337;17285;17052
5;9;"94";2012;86032;44397;41635
5;9;"88";2012;22905;11562;11343
5;9;"82";2012;15380;7760;7620
5;9;"53";2012;21091;10860;10231
5;9;"17";2012;33938;17422;16516
5;9;"03";2012;18153;9411;8742
5;9;"33";2012;83764;43183;40581
5;9;"95";2012;84718;43421;41297
